Title,Artist,File Path,City,Decade
Enjoy It Now,Tortured Soul,Stockholm/StockholmMusic/00s Music/EnjoyItNow.mp3,Stockholm,2000s
Desire,Morris,Stockholm/StockholmMusic/00s Music/Desire.mp3,Stockholm,2000s
Pjanoo,Eric Prydz,Stockholm/StockholmMusic/00s Music/Pjanoo.mp3,Stockholm,2000s
Baby When the Light,David Guetta,Stockholm/StockholmMusic/00s Music/BabyWhenTheLight.mp3,Stockholm,2000s
Lovin’ Feeling,French 79,Stockholm/StockholmMusic/10s Music/LovinFeeling.mp3,Stockholm,2010s
Glue,BICEP,Stockholm/StockholmMusic/10s Music/Glue.mp3,Stockholm,2010s
How Deep Is Your Love,Calvin Harris,Stockholm/StockholmMusic/10s Music/HowDeepIsYourLove.mp3,Stockholm,2010s
HEAT,Tove Lo,Stockholm/StockholmMusic/10s Music/HEAT.mp3,Stockholm,2010s
Finally,Swedish House Mafia,Stockholm/StockholmMusic/10s Music/Finally.mp3,Stockholm,2010s
Addicted To You,Avicii,Stockholm/StockholmMusic/10s Music/AddictedToYou.mp3,Stockholm,2010s
Don’t You Worry Child,Swedish House Mafia,Stockholm/StockholmMusic/10s Music/DontYouWorryChild.mp3,Stockholm,2010s
Check Out,J. Worra,Stockholm/StockholmMusic/10s Music/CheckOut.mp3,Stockholm,2010s
Beautiful People,Chris Brown,Stockholm/StockholmMusic/10s Music/BeautifulPeople.mp3,Stockholm,2010s
Heroes (We Could Be),Alesso,Stockholm/StockholmMusic/10s Music/Heroes.mp3,Stockholm,2010s
El Viejo Del Sombrerón,La Sonora Dinamita,Bogota/BogotaMusic/1980s/ElViejoDelSombreron.mp3,Bogota,1980s
Mentirosa,Rafaga,Bogota/BogotaMusic/1980s/Mentirosa.mp3,Bogota,1980s
Ojitos Mentirosos,Tropicalisimo Apache,Bogota/BogotaMusic/1980s/OjitosMentirosos.mp3,Bogota,1980s
Sergio el Bailador,Bronco,Bogota/BogotaMusic/1980s/SergioElBailador.mp3,Bogota,1980s
